Month,Day,Hour,Minute,DHI,GHI,DNI
7,14,0,0,0,0,0
7,14,0,30,0,0,0
7,14,1,0,0,0,0
7,14,1,30,0,0,0
7,14,2,0,0,0,0
7,14,2,30,0,0,0
7,14,3,0,0,0,0
7,14,3,30,0,0,0
7,14,4,0,0,0,0
7,14,4,30,0,0,0
7,14,5,0,0,0,0
7,14,5,30,0,0,0
7,14,6,0,0,0,0
7,14,6,30,12,13,16
7,14,7,0,44,61,130
7,14,7,30,77,113,167
7,14,8,0,103,205,334
7,14,8,30,108,321,540
7,14,9,0,135,389,529
7,14,9,30,220,402,324
7,14,10,0,164,565,626
7,14,10,30,145,668,736
7,14,11,0,158,731,742
7,14,11,30,289,614,393
7,14,12,0,256,734,550
7,14,12,30,166,883,794
7,14,13,0,308,592,307
7,14,13,30,382,524,152
7,14,14,0,391,629,255
7,14,14,30,246,842,648
7,14,15,0,248,784,599
7,14,15,30,348,526,207
7,14,16,0,305,593,355
7,14,16,30,273,600,432
7,14,17,0,273,540,386
7,14,17,30,238,476,385
7,14,18,0,210,389,332
7,14,18,30,180,280,218
7,14,19,0,135,209,200
7,14,19,30,94,125,111
7,14,20,0,68,83,79
7,14,20,30,34,43,90
7,14,21,0,9,9,24
7,14,21,30,0,0,0
7,14,22,0,0,0,0
7,14,22,30,0,0,0
7,14,23,0,0,0,0
7,14,23,30,0,0,0
